"full_name","a","e","i","om","w","q","ad","per_y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"   73P/Schwassmann-Wachmann 3-BK",3.045,0.6915,11.37,69.90,198.78,0.939,5.15,5.31,11,9,14,,,
"   73P/Schwassmann-Wachmann 3-BL",3.091,0.6962,11.41,69.97,198.70,0.939,5.24,5.44,6,9,9,,,
"   73P/Schwassmann-Wachmann 3-BM",2.959,0.6824,11.29,69.78,198.86,0.940,4.98,5.09,6,9,13,,,
"   73P/Schwassmann-Wachmann 3-BN",3.047,0.6918,11.38,69.88,198.79,0.939,5.15,5.32,6,9,31,,,
"   73P/Schwassmann-Wachmann 3-BO",3.048,0.6918,11.38,69.89,198.77,0.939,5.16,5.32,21,7,28,,,
"   73P/Schwassmann-Wachmann 3-BP",2.96,0.6825,11.29,69.81,198.85,0.940,4.98,5.09,8,9,32,,,
"   73P/Schwassmann-Wachmann 3-BQ",3.054,0.6925,11.39,69.87,198.82,0.939,5.17,5.34,7,9,25,,,
"   73P/Schwassmann-Wachmann 3-BR",2.984,0.6852,11.32,69.83,198.84,0.940,5.03,5.16,28,8,20,,,
"   73P/Schwassmann-Wachmann 3-BS",3.115,0.6986,11.44,69.94,198.77,0.939,5.29,5.5,12,9,12,,,
"   73P/Schwassmann-Wachmann 3-BT",3.092,0.6856,11.24,69.66,199.35,0.972,5.21,5.44,250,6,353,,,
"   73P/Schwassmann-Wachmann 3-BU",2.888,0.6677,11.05,70.74,199.85,0.960,4.82,4.91,7,9,15,,,
"   73P/Schwassmann-Wachmann 3-BV",3.134,0.6892,11.24,69.52,199.39,0.974,5.29,5.55,22,8,15,,,
"   73P/Schwassmann-Wachmann 3-BW",4.502,0.7778,11.61,67.33,198.68,1.001,8.00,9.55,4,9,12,,,
"   73P/Schwassmann-Wachmann 3-BX",3.116,0.6873,11.26,69.49,199.38,0.974,5.26,5.5,10,8,38,,,
